381
0 1 2
3 4 5
6 4 3
7 6 8
9 7 10
11 9 12
13 14 15
16 17 5
18 19 20
21 22 18
23 22 21
24 25 17
26 23 27
28 29 25
30 26 31
32 30 33
34 35 29
36 37 35
38 39 37
40 41 39
42 43 44
45 46 44
45 44 43
47 48 49
50 51 41
52 53 51
54 55 53
56 57 55
58 59 57
60 61 62
63 0 59
64 65 66
67 68 65
69 68 67
70 71 2
72 73 71
74 15 73
75 76 77
78 75 79
80 78 81
82 83 84
85 86 83
87 86 85
88 89 14
90 91 92
93 94 89
95 90 96
97 98 95
19 99 100
6 3 8
7 8 10
9 10 12
11 12 94
16 5 4
101 102 103
104 105 100
106 9 11
22 19 18
23 21 27
107 7 9
24 17 16
108 103 46
26 27 31
109 6 7
110 111 23
112 113 114
28 25 24
30 31 33
115 4 6
32 116 30
32 33 102
117 24 16
118 114 119
34 29 28
101 32 102
120 16 4
121 122 123
124 119 125
36 35 34
108 101 103
48 43 49
126 28 24
38 37 36
40 39 38
127 125 128
45 108 46
45 122 108
48 45 43
129 130 121
47 49 113
131 34 28
122 45 48
50 41 40
61 128 62
112 47 113
132 36 34
112 123 47
133 134 135
52 51 50
118 112 114
118 136 112
137 135 138
54 53 52
139 38 36
124 118 119
140 50 40
137 141 133
56 55 54
127 124 125
142 40 38
143 52 50
61 127 128
68 66 65
144 145 146
76 138 77
63 1 0
58 57 56
60 62 66
60 144 61
63 59 58
68 60 66
144 69 147
69 67 134
148 54 52
133 69 134
133 147 69
92 149 150
70 2 1
151 56 54
137 133 135
152 63 58
92 153 87
74 13 15
72 71 70
76 137 138
154 1 63
155 58 56
90 150 96
74 73 72
75 156 76
75 77 79
157 70 1
78 79 81
86 84 83
80 81 84
80 158 78
80 86 158
158 87 153
87 85 149
97 159 105
93 11 94
88 14 13
160 72 70
92 87 149
161 13 74
90 92 150
162 88 13
163 74 72
93 89 88
95 96 159
95 164 90
111 22 23
111 99 22
97 95 159
165 11 93
166 93 88
104 97 105
99 104 100
99 19 22
167 97 104
111 104 99
167 104 111
168 111 110
98 97 167
164 95 98
161 162 13
91 90 164
169 164 98
170 106 165
153 92 91
80 84 86
171 75 78
158 172 171
158 86 87
171 78 158
156 75 171
173 137 76
174 154 152
175 153 91
161 176 162
173 76 156
177 174 152
160 163 72
178 179 163
180 171 172
141 137 173
147 133 141
144 60 68
146 127 61
144 68 69
177 155 181
154 157 1
182 124 127
146 61 144
155 152 58
183 141 173
182 127 146
184 118 124
151 155 56
183 185 141
184 124 182
148 151 54
186 146 145
136 118 184
143 148 52
186 182 146
185 147 141
123 112 136
122 48 47
187 101 108
122 47 123
140 143 50
188 142 189
140 190 143
142 140 40
191 184 182
139 142 38
192 136 184
193 32 101
187 108 122
132 139 36
194 131 195
192 191 196
193 101 187
116 32 193
197 26 30
198 115 109
131 132 34
199 187 121
197 30 116
165 200 170
110 23 26
126 131 28
199 193 187
110 26 197
117 126 24
120 115 201
202 203 200
162 166 88
161 179 176
161 74 163
165 93 166
106 11 165
204 110 197
205 197 116
206 198 109
107 9 106
205 204 197
109 7 107
207 116 193
120 117 16
115 6 109
120 208 117
120 4 115
180 156 171
157 209 160
154 63 152
157 154 210
157 160 70
198 207 201
198 201 115
211 107 106
205 207 198
206 109 107
211 206 107
168 110 204
170 211 106
203 98 167
202 166 162
212 91 164
208 120 201
199 207 193
213 126 117
168 167 111
204 211 170
213 117 208
130 208 199
195 131 126
204 214 168
205 206 211
195 126 213
129 123 136
205 198 206
205 211 204
207 205 116
199 208 201
196 139 132
194 132 131
136 215 129
199 121 130
199 201 207
196 132 194
189 142 139
121 187 122
189 139 196
189 196 191
188 140 142
182 216 191
190 140 188
216 217 190
218 148 143
215 194 195
213 130 215
129 121 123
219 151 148
218 143 190
185 217 145
192 196 194
136 192 215
219 148 218
181 155 151
216 188 189
191 192 184
181 151 219
181 219 183
220 173 156
186 145 217
182 186 216
145 144 147
174 180 210
174 210 154
220 183 173
220 180 174
177 152 155
185 219 218
217 218 190
185 145 147
178 163 160
209 157 210
220 177 181
183 219 185
179 161 163
212 175 91
164 221 212
178 212 179
178 160 209
220 174 177
220 181 183
222 209 210
180 220 156
172 158 153
222 210 180
200 165 166
203 168 214
202 162 176
203 169 98
202 200 166
175 178 209
175 222 172
175 172 153
221 176 179
212 178 175
169 202 176
221 179 212
203 167 168
214 170 200
203 202 169
216 189 191
216 190 188
213 215 195
215 192 194
214 204 170
214 200 203
222 180 172
222 175 209
216 186 217
217 185 218
130 213 208
130 129 215
164 169 221
221 169 176
