572
0 1 2
3 1 0
4 5 6
7 8 9
10 11 12
13 14 15
16 17 18
19 20 21
22 23 24
25 26 27
28 29 30
31 32 33
34 35 36
37 35 34
38 37 39
40 38 41
42 40 43
44 42 45
46 44 47
48 46 49
50 48 51
52 50 53
54 55 36
56 57 58
59 60 55
61 62 56
63 31 60
64 62 61
65 64 66
67 68 33
69 65 70
71 72 68
73 69 74
75 73 76
29 25 30
77 75 78
79 22 27
80 81 77
82 19 24
83 80 84
85 86 21
87 16 86
88 89 18
90 13 89
91 92 93
94 95 91
96 97 93
98 91 95
99 100 15
101 102 100
103 104 105
106 107 102
108 10 107
109 110 12
111 112 113
114 115 110
116 117 111
117 118 112
119 120 115
121 122 113
123 7 120
124 118 125
126 124 127
128 129 9
130 126 131
132 133 129
134 135 136
5 137 6
138 134 136
139 140 138
141 142 2
143 139 144
145 146 142
147 148 149
150 151 146
152 153 154
155 156 152
157 158 151
159 160 154
161 152 156
162 163 158
164 165 166
57 167 168
148 169 149
3 0 137
5 170 3
4 6 133
128 132 129
171 172 140
85 87 86
173 174 97
175 176 177
82 20 19
178 179 174
79 23 22
180 181 179
29 182 26
28 30 72
67 71 68
183 184 81
59 63 60
77 185 75
37 34 39
186 187 188
189 186 185
38 39 41
40 41 43
190 188 187
42 43 45
44 45 47
46 47 49
48 49 51
50 51 53
165 191 166
52 53 163
52 192 50
193 194 195
54 36 35
80 196 84
59 55 54
197 198 165
167 57 56
194 81 80
63 32 31
64 61 66
64 199 62
200 48 50
65 66 70
201 46 48
202 199 64
67 33 32
69 70 74
190 42 44
71 67 203
71 28 72
73 74 76
75 76 78
75 188 73
29 28 204
29 26 25
205 35 37
77 78 196
79 27 26
206 59 54
80 77 196
207 67 32
82 24 23
83 84 181
83 195 80
208 209 122
85 21 20
180 210 83
180 83 181
211 79 26
87 17 16
178 180 179
90 14 13
88 18 17
173 178 174
104 212 105
90 89 88
92 213 96
96 173 97
98 95 212
96 93 92
98 92 91
214 215 216
99 15 14
213 92 98
217 173 96
104 98 212
177 87 85
218 219 106
106 108 107
101 100 99
103 105 209
121 113 112
219 134 220
106 102 101
208 103 209
208 221 103
222 17 87
136 216 223
108 11 10
138 223 224
119 123 120
109 12 11
112 225 121
112 111 117
226 227 228
114 110 109
118 117 125
139 224 144
119 115 114
121 208 122
229 140 139
123 8 7
124 125 127
230 90 88
231 208 121
126 127 131
232 14 90
126 233 124
128 9 8
130 131 215
130 234 126
235 101 99
132 128 236
132 4 133
214 130 215
237 99 14
136 214 216
136 135 214
5 4 238
5 3 137
239 109 11
138 136 223
171 119 114
139 138 224
240 128 8
141 2 1
241 242 160
143 144 169
143 227 139
145 142 141
148 243 143
148 143 169
244 1 3
147 149 242
245 246 247
157 162 158
150 146 145
198 248 191
241 147 242
249 250 248
251 141 1
153 252 159
159 241 160
161 156 250
157 151 150
159 154 153
161 153 152
247 162 157
199 167 62
253 241 159
249 161 250
198 191 165
252 153 161
198 249 248
254 157 150
255 150 145
198 256 249
257 202 65
162 52 163
164 258 165
164 166 168
167 164 168
167 56 62
258 197 165
199 164 167
259 145 141
252 161 249
260 253 261
197 256 198
258 164 199
246 52 162
202 262 263
252 261 253
252 249 256
264 192 246
265 147 241
253 159 252
260 265 253
254 247 157
265 241 253
266 148 147
266 147 265
266 243 148
251 267 259
255 254 150
255 268 254
269 227 143
270 4 132
271 272 266
259 255 145
226 123 119
236 269 243
140 134 138
219 108 106
239 140 172
135 134 219
273 130 214
135 274 214
275 88 17
269 228 227
276 243 266
234 130 273
277 278 230
225 118 124
233 126 234
176 222 177
279 85 20
171 229 226
229 139 227
228 8 123
225 233 231
225 112 118
225 124 233
172 114 109
171 226 119
239 220 134
172 171 114
280 281 282
231 121 225
219 218 135
220 11 108
221 208 231
283 104 103
284 231 233
218 106 101
273 214 274
283 103 221
213 98 104
285 82 23
286 20 82
235 218 101
232 278 287
235 135 218
213 283 217
213 104 283
288 178 173
217 96 213
289 283 221
275 222 282
232 237 14
288 173 217
290 180 178
290 178 288
180 291 210
222 275 17
292 288 217
210 195 83
293 28 71
294 63 59
207 210 203
184 185 77
295 38 40
186 188 75
296 69 73
296 73 188
297 44 46
257 65 69
180 290 291
257 69 296
263 258 199
202 64 65
263 197 258
206 194 294
194 80 195
193 32 63
183 54 35
206 294 59
262 202 257
246 162 247
298 257 296
192 52 246
299 300 201
200 50 192
200 301 299
201 48 200
302 188 190
297 46 201
302 300 296
187 40 42
190 44 297
190 297 302
187 42 190
189 37 38
295 40 187
189 295 186
189 38 295
183 205 184
205 183 35
205 37 189
205 189 185
183 81 206
183 206 54
193 63 294
207 195 210
207 203 67
207 193 195
207 32 193
293 71 203
203 291 293
303 290 288
291 304 204
293 204 28
305 23 79
303 304 290
182 29 204
306 307 305
211 26 182
286 279 20
305 79 211
285 23 305
286 308 309
286 82 285
279 286 309
279 177 85
310 233 234
222 87 177
275 277 230
275 230 88
237 274 235
232 90 230
237 232 287
237 235 99
220 239 11
220 108 219
140 239 134
239 172 109
228 123 226
240 236 128
269 240 228
240 8 228
270 132 236
270 236 243
276 272 238
270 238 4
271 266 265
170 5 238
251 259 141
244 3 170
251 244 311
251 1 244
312 255 259
313 244 170
272 170 238
313 271 311
313 311 244
272 313 170
276 270 243
276 266 272
276 238 270
314 234 273
274 135 235
277 314 278
289 217 283
315 316 175
175 177 279
307 285 305
308 317 309
308 286 285
318 292 319
307 308 285
320 211 182
318 288 292
306 305 211
304 182 204
320 303 306
320 306 211
304 320 182
203 210 291
291 290 304
291 204 293
300 297 201
302 296 188
300 302 297
298 296 300
299 201 200
299 301 298
301 200 192
321 298 301
262 322 263
264 301 192
323 261 197
263 199 202
321 301 264
298 300 299
321 262 257
176 282 222
284 221 231
175 279 309
303 320 304
318 307 306
314 273 287
278 232 230
281 310 234
277 275 282
317 315 309
318 306 303
274 237 287
274 287 273
217 324 292
316 176 175
325 324 289
284 289 221
281 277 282
310 326 284
310 284 233
314 287 278
314 277 281
327 271 265
267 251 311
328 321 264
312 259 267
261 256 197
271 313 272
327 267 311
329 247 254
268 255 312
268 330 331
