215
0 1 2
3 1 0
4 5 6
7 8 9
10 11 12
13 11 10
14 13 15
16 14 17
18 19 12
20 21 19
22 23 24
25 26 21
27 28 26
29 30 31
32 7 28
20 18 33
34 35 9
36 33 37
38 39 35
27 25 36
40 41 39
42 43 44
45 46 41
47 48 49
50 51 46
52 53 49
54 4 51
55 56 6
57 58 59
60 61 56
62 59 58
63 64 61
65 66 67
68 69 70
71 69 68
72 73 2
63 60 74
75 74 76
77 75 78
79 80 73
81 82 77
83 84 85
86 87 80
88 89 85
86 80 79
90 63 74
90 75 82
3 0 64
69 65 70
91 92 43
52 49 48
30 33 18
93 94 31
95 30 11
13 10 15
96 97 94
98 95 13
14 15 17
16 17 87
99 100 23
101 102 97
18 12 11
20 19 18
33 29 37
22 24 102
103 88 84
25 21 20
36 37 104
105 99 22
101 22 102
106 14 16
96 101 97
27 32 28
27 26 25
43 104 44
95 11 13
93 98 96
93 96 94
30 93 31
30 18 11
32 91 8
32 8 7
36 25 20
33 30 29
34 9 8
107 91 42
92 36 43
36 20 33
38 35 34
108 109 59
110 111 112
43 36 104
40 39 38
113 114 62
42 91 43
42 44 53
45 41 40
67 112 115
48 47 109
116 108 62
50 46 45
54 5 4
117 48 108
52 42 53
65 115 70
54 51 50
108 48 109
62 58 110
71 74 60
55 6 5
71 68 118
58 57 111
119 45 40
60 56 55
63 3 64
110 58 111
66 50 45
120 40 38
74 118 76
63 61 60
67 110 112
69 5 54
121 54 50
65 67 115
69 55 5
121 69 54
71 60 55
71 55 69
72 2 1
86 122 16
74 71 118
90 3 63
75 76 78
75 77 82
77 78 89
123 79 72
79 73 72
84 83 100
88 77 89
99 23 22
124 105 101
86 16 87
88 85 84
99 84 100
125 86 79
90 74 75
82 1 3
95 98 93
95 93 30
103 84 99
81 77 88
126 103 99
122 106 16
127 81 103
81 88 103
128 72 1
128 123 72
82 3 90
128 82 81
127 129 125
123 125 79
113 110 67
66 65 121
113 62 110
113 67 66
119 66 45
62 108 59
130 38 34
121 65 69
121 50 66
117 52 48
107 42 52
130 131 120
132 34 8
107 52 117
119 113 66
91 132 8
92 32 27
120 119 40
114 113 119
133 132 107
133 107 117
130 120 38
92 27 36
92 91 32
98 13 14
124 101 96
124 96 98
105 129 126
105 22 101
129 122 125
122 86 125
129 105 124
106 124 98
106 98 14
106 122 124
132 91 107
132 130 34
128 1 82
128 81 123
129 124 122
126 127 103
133 130 132
131 114 120
114 116 62
114 119 120
127 123 81
127 125 123
116 133 117
131 130 133
116 117 108
116 114 131
116 131 133
126 129 127
126 99 105
