271
0 1 2 3
3 4 5 6
2 7 3 8
9 10 11 12
0 3 13 14
3 6 5 15
16 2 1 8
17 16 1 8
8 18 19 20
3 21 19 22
3 8 19 23
1 8 12 24
25 2 26 13
27 0 13 14
28 0 2 13
27 13 29 14
30 31 0 13
29 26 7 13
32 33 34 35
32 18 33 35
36 18 37 38
37 18 39 38
3 8 7 38
33 18 40 22
41 35 14 42
43 44 45 14
45 15 14 35
3 14 35 42
27 43 6 14
27 6 0 14
3 7 13 14
29 13 7 14
27 44 43 14
46 47 48 5
49 8 20 38
50 51 20 23
2 7 8 38
8 20 19 23
8 18 20 38
49 20 36 38
49 2 8 38
39 18 32 42
52 38 39 42
53 19 18 20
36 20 18 38
52 7 38 42
3 38 7 42
52 14 7 42
54 41 14 42
53 19 40 18
3 14 15 35
3 22 18 35
55 52 7 38
52 54 14 42
32 35 56 42
30 11 28 0
57 58 59 60
17 16 61 1
62 6 43 15
63 4 0 6
63 64 4 6
64 62 5 6
17 1 61 24
11 10 1 12
61 1 10 24
8 23 12 24
3 21 5 60
17 8 1 24
28 1 16 2
64 62 47 5
64 65 62 6
3 35 18 42
3 19 18 22
45 66 15 35
45 14 41 35
41 56 35 42
56 34 67 35
3 21 22 35
3 7 14 42
68 69 23 60
57 59 12 60
46 5 21 60
3 5 4 60
69 21 23 60
69 19 21 22
70 40 19 22
49 8 71 20
3 19 21 23
40 18 19 22
72 21 73 22
57 12 4 60
64 5 57 4
9 4 57 12
63 74 0 4
64 5 4 6
0 1 3 4
0 4 3 6
52 56 54 42
62 5 6 15
47 48 5 15
3 14 6 15
29 7 52 14
62 47 5 15
50 75 23 24
75 12 59 23
3 12 23 60
63 9 74 4
74 11 0 4
57 5 46 60
11 1 0 4
75 12 23 24
10 1 12 24
57 4 5 60
10 12 75 24
2 3 7 13
48 21 15 35
36 53 18 20
70 19 69 22
76 17 49 2
71 50 20 24
51 19 20 23
32 18 35 42
33 22 73 35
69 21 19 23
1 3 4 12
46 5 48 21
46 21 58 60
48 73 21 35
59 68 23 60
59 23 12 60
73 22 21 35
3 15 5 21
71 20 8 24
1 8 3 12
39 38 18 42
33 18 22 35
65 0 27 6
63 0 65 6
66 48 15 35
58 21 69 60
1 2 3 8
48 5 15 21
3 23 21 60
9 11 4 12
8 20 23 24
26 2 55 7
62 43 47 15
0 3 2 13
36 77 37 18
30 0 28 13
25 28 2 13
3 12 8 23
3 18 8 38
49 55 2 38
17 71 8 24
17 2 16 8
27 0 31 13
26 2 7 13
11 1 4 12
55 7 2 38
3 19 8 18
51 70 19 23
3 15 21 35
69 21 72 22
51 19 53 20
28 0 11 1
3 4 12 60
28 0 1 2
52 39 56 42
0 6 3 14
3 18 38 42
37 32 39 18
50 23 20 24
70 69 19 23
29 26 52 7
25 26 29 13
26 55 52 7
25 78 26 2
76 55 26 2
76 26 78 2
29 52 54 14
50 75 51 23
67 34 73 35
63 74 79 0
76 16 17 2
43 45 47 15
41 56 67 35
79 31 27 0
51 70 53 19
32 77 33 18
68 58 69 60
76 49 55 2
36 53 77 18
58 80 69 21
43 6 14 15
65 43 62 6
46 80 58 21
72 33 40 22
36 51 53 20
27 29 44 14
79 74 30 0
27 31 29 13
32 34 56 35
9 59 10 12
28 81 16 1
70 40 53 19
17 61 50 24
81 61 16 1
72 73 33 22
28 11 81 1
70 72 40 22
25 29 31 13
10 59 75 12
30 74 11 0
76 78 16 2
57 46 58 60
30 28 25 13
79 30 31 0
50 51 36 20
28 16 78 2
44 41 45 14
69 80 72 21
63 65 64 6
80 48 72 21
68 69 70 23
25 28 78 2
64 46 57 5
34 33 73 35
9 57 59 12
65 79 27 0
61 10 75 24
55 39 52 38
49 37 55 38
66 67 73 35
11 10 81 1
61 75 50 24
43 14 45 15
49 17 71 8
17 50 71 24
45 67 66 35
63 57 9 4
47 45 66 15
70 69 72 22
29 54 44 14
65 27 43 6
47 66 48 15
63 64 57 4
71 50 36 20
49 36 37 38
74 9 11 4
72 48 73 21
39 32 56 42
37 77 32 18
49 2 17 8
46 48 80 21
53 40 77 18
59 58 68 60
44 54 41 14
49 71 36 20
63 79 65 0
68 70 51 23
55 37 39 38
30 25 31 13
64 47 46 5
45 41 67 35
75 68 51 23
66 73 48 35
77 40 33 18
75 59 68 23
54 56 41 42
81 10 61 1
