228
0 1 2 3
4 3 5 6
7 3 8 5
0 9 1 3
9 7 4 3
8 3 10 11
12 13 6 14
15 14 16 17
18 19 14 17
16 20 12 14
13 5 6 14
16 14 5 17
2 21 22 23
24 21 2 23
25 26 21 23
24 27 21 23
28 29 30 23
30 22 26 23
13 6 5 11
31 32 18 17
31 33 17 34
17 34 33 35
15 33 36 35
37 36 33 35
38 39 40 35
40 39 41 35
42 43 44 17
15 18 17 35
45 46 47 48
49 45 47 48
50 51 22 48
50 22 52 48
2 22 21 48
53 30 26 23
51 21 26 22
51 21 22 48
52 54 55 48
55 54 46 48
27 46 54 21
46 21 47 48
29 2 22 23
52 22 2 48
50 49 51 48
54 21 46 48
27 25 21 23
31 44 56 17
1 9 4 3
50 51 30 22
57 26 25 23
54 58 2 59
52 2 1 59
4 6 60 59
61 60 58 59
4 3 6 59
58 11 2 59
62 5 19 17
63 13 5 11
3 5 6 11
62 43 64 5
65 66 36 33
27 67 46 25
37 33 34 35
18 34 17 35
31 17 18 34
68 31 69 33
65 44 66 33
65 15 44 33
70 71 58 11
71 72 10 11
68 66 44 33
15 17 44 33
73 13 19 5
72 8 10 11
4 7 16 5
7 43 16 5
71 2 58 11
3 11 6 59
10 3 2 11
58 6 11 59
60 6 58 59
60 12 13 6
74 54 58 2
24 54 74 2
52 61 54 59
61 58 54 59
75 41 37 34
41 37 34 35
76 75 37 34
76 77 75 34
68 44 31 33
76 68 31 69
75 77 41 34
76 69 31 34
31 69 33 34
66 69 36 33
38 36 39 35
78 65 66 36
15 18 20 14
16 6 5 14
15 42 44 17
16 12 6 14
4 3 7 5
65 15 42 44
38 15 36 35
76 31 77 34
52 2 54 48
63 62 64 5
74 70 71 58
24 2 29 23
70 63 71 11
39 36 37 35
69 37 36 33
40 18 15 35
40 79 41 39
52 54 2 59
80 66 68 69
31 62 32 17
74 58 71 2
77 31 18 34
56 44 43 17
15 17 33 35
65 36 15 33
76 37 69 34
52 55 49 48
49 55 45 48
24 74 71 2
28 30 53 23
28 57 24 23
51 47 21 48
2 11 3 59
1 4 60 59
7 8 43 5
52 29 2 22
50 81 30 51
57 53 26 23
82 10 29 2
30 29 22 23
52 29 0 2
52 1 61 59
60 13 58 6
71 10 2 11
24 54 2 21
46 25 47 21
50 0 52 29
28 24 82 29
54 2 21 48
50 49 81 51
70 13 63 11
50 52 49 48
28 53 57 23
49 47 51 48
1 60 61 59
62 56 64 43
50 30 29 22
50 29 52 22
27 57 25 23
76 80 68 69
63 64 8 5
13 19 5 14
73 32 62 19
0 29 10 2
0 10 9 3
52 61 55 54
51 47 26 21
4 12 60 6
13 58 6 11
82 29 24 2
70 58 13 11
8 5 3 11
63 8 72 11
27 57 67 25
32 19 18 17
32 62 19 17
77 31 32 18
20 18 19 14
65 38 15 36
12 19 13 14
9 10 8 3
82 71 10 2
40 20 15 18
16 5 43 17
62 43 5 17
77 18 41 34
63 72 71 11
31 56 62 17
24 57 27 23
63 64 72 8
38 40 15 35
38 79 40 39
15 20 16 14
40 41 18 35
41 34 18 35
73 63 13 5
15 18 14 17
19 5 14 17
0 2 10 3
9 8 7 3
73 62 63 5
64 43 8 5
31 44 17 33
12 20 19 14
82 71 72 10
68 69 66 33
45 55 46 48
7 42 16 43
1 2 3 59
26 22 21 23
82 24 71 2
28 24 29 23
62 56 43 17
41 39 37 35
24 27 74 54
24 27 54 21
30 51 26 22
69 37 33 34
73 19 62 5
63 5 8 11
25 26 47 21
4 5 16 6
1 3 4 59
52 0 1 2
4 16 12 6
27 25 46 21
78 38 65 36
68 56 31 44
15 16 42 17
16 43 42 17
73 63 70 13
