3301
0 1 2 3
1 4 3 5
3 5 4 6
3 5 6 7
3 6 4 8
3 9 8 10
10 11 12 13
2 3 8 10
0 3 14 15
0 11 16 17
0 10 11 17
10 12 11 17
3 10 14 18
10 17 14 18
3 5 15 19
1 5 3 19
20 21 22 23
8 9 23 24
20 23 25 26
23 26 27 28
23 25 26 28
29 30 31 32
29 32 33 34
32 33 34 35
32 36 37 38
39 40 41 42
42 43 44 45
33 42 43 46
39 42 44 47
33 42 46 48
41 46 42 48
45 49 50 51
43 52 51 53
51 53 52 54
51 54 55 56
51 56 57 58
51 56 55 59
51 57 56 59
8 60 61 62
62 63 64 65
61 62 65 66
62 63 65 66
21 62 67 68
69 70 71 72
72 73 74 75
76 77 78 79
77 79 80 81
79 82 83 84
15 83 82 84
79 80 81 85
79 83 82 86
66 87 88 89
89 90 91 92
91 92 90 93
63 89 91 92
63 87 66 89
94 95 96 97
14 98 99 100
14 18 17 99
14 101 102 103
14 104 101 105
44 45 43 49
42 43 45 106
32 42 33 107
43 49 51 52
31 33 43 108
109 110 111 112
43 52 53 108
30 31 106 113
29 32 31 33
30 32 38 106
60 114 65 115
60 114 115 116
117 118 119 120
60 116 115 121
115 122 123 124
115 125 124 126
1 4 5 127
128 129 130 131
1 127 19 132
1 133 19 134
1 2 4 135
8 61 21 62
2 24 8 60
60 116 121 136
60 87 65 114
115 124 125 137
114 115 122 138
24 61 114 139
40 140 141 142
22 143 144 145
40 146 140 147
36 40 147 148
36 38 40 148
31 43 32 106
32 36 38 40
32 40 42 107
32 40 38 106
39 40 75 146
40 141 140 146
40 107 140 142
36 149 150 151
36 151 150 152
151 153 154 155
36 149 151 156
157 158 159 160
19 83 103 161
103 162 160 163
103 160 162 164
158 159 160 165
53 166 58 167
166 167 168 169
167 170 171 172
29 167 171 173
167 170 172 174
175 176 177 178
179 180 95 181
31 108 53 167
53 167 108 173
2 3 4 8
177 182 183 184
76 86 82 185
62 67 68 121
8 21 22 68
23 24 27 61
20 21 23 186
23 61 27 187
188 189 190 191
191 192 193 194
150 153 195 196
150 153 155 195
93 155 191 197
90 93 191 192
65 115 114 138
8 62 68 121
8 60 62 121
62 64 67 198
64 65 92 126
65 92 126 195
21 62 61 66
61 66 65 87
199 200 201 184
90 93 92 155
202 203 204 205
93 197 192 206
180 207 95 132
92 197 208 209
93 197 206 208
35 36 156 210
149 150 155 210
36 151 140 156
36 189 150 210
39 47 74 75
39 146 75 211
39 141 146 211
212 141 39 211
40 75 146 147
75 146 147 211
141 152 211 213
141 152 146 211
214 215 216 217
35 37 36 210
35 36 140 156
149 218 154 219
149 151 156 219
35 140 107 156
107 156 142 220
140 142 156 219
64 92 209 221
64 65 126 198
63 65 87 92
3 14 15 18
63 222 208 223
224 225 226 227
90 192 191 194
191 196 195 228
152 153 229 230
150 196 188 231
36 147 140 152
150 155 191 195
147 196 150 231
126 154 153 155
78 232 233 234
32 42 40 106
126 155 153 195
150 191 155 210
153 195 196 229
150 195 191 196
152 153 196 229
189 193 191 235
90 191 155 195
155 191 197 210
191 192 197 210
92 155 197 221
236 237 238 187
15 83 84 105
14 84 98 100
84 98 100 239
7 15 84 98
7 84 15 240
82 240 84 241
79 234 82 241
84 241 98 242
81 241 84 242
243 74 69 73
73 211 75 244
2 13 24 60
2 60 121 136
22 68 245 246
4 68 22 247
22 68 246 247
62 65 64 198
21 62 63 67
61 62 60 65
114 122 116 248
114 122 248 249
24 139 114 250
203 251 252 253
254 253 252 255
256 253 257 258
134 205 258 259
205 253 258 259
256 205 253 258
257 253 254 258
254 253 255 258
4 260 261 262
263 264 39 265
5 266 240 267
268 175 178 227
179 95 94 181
240 269 270 271
131 267 260 272
5 127 262 267
5 262 266 267
127 267 240 272
262 266 267 273
200 268 175 184
22 143 145 262
143 145 262 274
267 274 271 275
276 277 278 279
271 280 281 282
240 267 266 271
240 270 267 271
234 269 271 281
234 269 281 283
234 281 271 280
234 240 266 271
5 6 7 266
262 273 267 274
6 23 9 28
19 240 82 272
284 285 276 286
82 240 269 272
240 267 270 272
7 84 240 241
78 234 79 241
82 269 185 287
83 82 86 185
19 127 240 272
82 272 269 287
5 15 19 240
169 288 289 290
166 290 169 291
289 290 288 292
290 293 292 294
166 290 291 295
237 296 238 27
297 182 268 184
290 293 294 298
166 290 295 298
30 31 32 106
45 72 47 106
299 98 300 301
33 46 43 108
31 45 106 302
108 303 304 305
33 34 35 305
306 18 99 307
33 48 108 305
33 35 107 220
33 35 220 305
32 33 42 43
47 106 72 148
50 308 70 309
70 310 309 311
47 74 72 265
45 72 50 265
50 69 70 308
45 58 50 70
70 71 72 312
19 161 97 313
19 161 103 164
19 97 133 313
5 19 127 240
0 3 15 19
19 272 82 313
15 19 83 103
0 19 15 134
3 15 7 18
14 85 84 100
14 84 85 105
3 7 9 18
19 127 272 313
82 240 234 269
127 260 267 272
42 45 47 106
45 47 72 265
40 42 47 106
40 41 42 107
45 72 106 302
41 44 46 314
44 47 45 265
21 22 68 245
8 22 21 23
4 8 22 68
2 136 135 259
2 121 135 136
53 54 56 172
51 53 54 56
72 148 106 302
31 106 113 302
32 43 42 106
32 33 35 107
30 32 37 38
31 167 58 169
58 167 166 169
31 43 45 53
31 43 53 108
29 108 167 173
72 73 75 148
45 58 70 302
