234
0 1 2
3 4 5
6 7 8
9 7 6
10 9 11
12 13 14
15 3 8
16 0 5
10 14 13
17 18 2
19 20 21
22 23 18
24 25 26
27 28 29
30 28 27
31 30 32
33 34 35
31 35 34
36 37 29
38 39 40
41 38 42
43 44 45
46 47 48
49 50 46
51 52 48
53 54 52
55 47 46
56 57 54
58 55 59
60 61 62
63 64 60
22 65 66
22 17 65
16 1 0
25 67 26
15 4 3
9 6 11
20 13 21
68 69 70
10 11 14
15 8 7
16 5 4
61 71 62
68 9 10
10 13 20
17 2 1
63 72 66
20 68 10
19 21 67
73 15 7
74 4 15
25 19 67
24 26 37
24 75 25
39 76 40
36 24 37
30 27 32
77 34 76
78 79 80
31 32 35
78 30 31
31 34 77
36 29 28
78 31 77
39 77 76
81 36 28
38 82 39
38 40 42
41 42 57
55 50 59
83 84 85
51 48 47
56 41 57
53 52 51
86 83 87
87 85 71
88 51 47
47 55 88
56 54 53
58 59 84
55 46 50
45 56 53
83 89 58
83 58 84
90 1 16
87 83 85
61 87 71
60 62 72
63 66 65
91 16 4
92 17 1
63 60 72
22 18 17
65 92 63
92 65 17
93 61 60
94 92 90
64 63 92
95 24 36
96 87 61
93 60 64
96 61 93
86 87 96
97 53 51
44 41 56
89 83 86
88 55 58
98 99 100
100 43 45
88 58 89
97 51 88
101 38 41
98 88 89
97 45 53
44 56 45
102 86 96
101 41 44
82 38 101
78 77 39
103 81 80
80 28 30
78 39 82
80 30 78
104 101 44
81 28 80
105 82 101
106 96 93
95 36 81
75 24 95
107 19 25
108 109 74
107 25 75
68 20 19
110 73 70
70 7 9
68 19 107
70 9 68
111 93 64
73 7 70
112 107 75
113 75 95
74 15 73
102 114 115
91 4 74
90 92 1
91 109 116
90 16 91
90 91 116
111 64 94
109 91 74
108 74 73
110 70 69
117 105 104
110 108 73
110 118 108
69 68 107
69 119 110
112 69 107
120 95 81
113 112 75
69 112 119
121 109 108
120 113 95
103 80 79
103 120 81
103 122 120
79 78 82
79 123 103
105 79 82
104 105 101
43 104 44
100 97 98
124 125 126
100 45 97
100 126 43
98 97 88
115 89 86
115 98 89
127 116 109
102 115 86
128 94 116
106 102 96
106 129 102
94 90 116
111 106 93
94 64 92
128 111 94
130 113 120
131 106 111
129 106 131
98 115 99
114 102 129
125 104 43
99 115 114
125 43 126
79 105 123
132 133 130
114 134 124
117 104 125
132 130 122
123 105 117
130 120 122
135 112 113
131 134 129
132 117 125
135 113 130
121 127 109
119 112 135
133 135 130
121 108 118
121 133 136
127 136 131
127 128 116
132 125 124
136 127 121
133 118 135
133 137 136
133 121 118
132 122 117
131 136 134
124 126 114
137 133 132
128 131 111
128 127 131
119 118 110
119 135 118
123 122 103
123 117 122
99 126 100
99 114 126
114 129 134
137 132 124
134 137 124
134 136 137
